Data Set,Model,Features Method,F1-score,AUC ROC,gamma,learning_rate,max_depth,n_estimators
0,XGBClassifier,Unigrams,0.7878787878787878,0.6191838837062897,0.0,0.01,3,50
1,XGBClassifier,Unigrams,0.808695652173913,0.5,0.0,0.01,3,50
2,XGBClassifier,Unigrams,0.8829568788501027,0.5020410100626542,0.0,0.01,3,50
0,XGBClassifier,Unigrams,0.7969543147208122,0.6369255422652091,0.0,0.01,3,100
1,XGBClassifier,Unigrams,0.808695652173913,0.5,0.0,0.01,3,100
2,XGBClassifier,Unigrams,0.8875255623721882,0.5064078222897285,0.0,0.01,3,100
0,XGBClassifier,Unigrams,0.8176795580110497,0.7247753677101814,0.0,0.01,3,500
1,XGBClassifier,Unigrams,0.808695652173913,0.5,0.0,0.01,3,500
2,XGBClassifier,Unigrams,0.8811475409836066,0.491171444845263,0.0,0.01,3,500
0,XGBClassifier,Unigrams,0.814404432132964,0.7218851942997768,0.0,0.01,3,1000
1,XGBClassifier,Unigrams,0.8034934497816594,0.4946236559139785,0.0,0.01,3,1000
2,XGBClassifier,Unigrams,0.8695652173913043,0.4802544142775774,0.0,0.01,3,1000
0,XGBClassifier,Unigrams,0.7957559681697614,0.6661992788874262,0.0,0.01,9,50
1,XGBClassifier,Unigrams,0.808695652173913,0.5,0.0,0.01,9,50
2,XGBClassifier,Unigrams,0.8423326133909288,0.5018511486614772,0.0,0.01,9,50
0,XGBClassifier,Unigrams,0.7864583333333333,0.6393864820008013,0.0,0.01,9,100
1,XGBClassifier,Unigrams,0.808695652173913,0.5,0.0,0.01,9,100
2,XGBClassifier,Unigrams,0.8656716417910448,0.5410575280045566,0.0,0.01,9,100
0,XGBClassifier,Unigrams,0.8198433420365536,0.6913809878097636,0.0,0.01,9,500
1,XGBClassifier,Unigrams,0.808695652173913,0.5,0.0,0.01,9,500
2,XGBClassifier,Unigrams,0.87551867219917,0.5041769508258972,0.0,0.01,9,500
0,XGBClassifier,Unigrams,0.8179419525065964,0.6955016310879643,0.0,0.01,9,1000
1,XGBClassifier,Unigrams,0.808695652173913,0.5,0.0,0.01,9,1000
2,XGBClassifier,Unigrams,0.8824742268041237,0.5107271691665085,0.0,0.01,9,1000
0,XGBClassifier,Unigrams,0.8291316526610644,0.7495278429577061,0.0,0.1,3,50
1,XGBClassifier,Unigrams,0.808695652173913,0.5,0.0,0.1,3,50
2,XGBClassifier,Unigrams,0.8879837067209775,0.4977216631858743,0.0,0.1,3,50
0,XGBClassifier,Unigrams,0.8370786516853933,0.7623190064671207,0.0,0.1,3,100
1,XGBClassifier,Unigrams,0.8034934497816594,0.4946236559139785,0.0,0.1,3,100
2,XGBClassifier,Unigrams,0.8643006263048018,0.4845737611543573,0.0,0.1,3,100
