dataset,model,features,f1 score,roc_auc_score
consumer_goods,xgb,nmf100,0.3137254901960784,0.5267857142857143
consumer_goods,xgb,ensemble,0.27906976744186046,0.5491071428571428
consumer_goods,xgb,nmf200,0.25,0.5513392857142857
consumer_goods,xgb,unigrams,0.20512820512820512,0.5357142857142857
consumer_goods,xgb,nmf50,0.046511627906976744,0.4263392857142857
consumer_goods,svm,nmf200,0.47058823529411764,0.5714285714285714
consumer_goods,svm,ensemble,0.47058823529411764,0.5714285714285714
consumer_goods,svm,unigrams,0.42424242424242425,0.5401785714285714
consumer_goods,svm,nmf50,0.42424242424242425,0.5401785714285714
consumer_goods,svm,nmf100,0.42424242424242425,0.5401785714285714
consumer_goods,rf,ensemble,0.24489795918367344,0.4955357142857143
consumer_goods,rf,unigrams,0.2,0.5267857142857143
consumer_goods,rf,nmf50,0.1951219512195122,0.5178571428571428
consumer_goods,rf,nmf100,0.058823529411764705,0.5066964285714286
consumer_goods,rf,nmf200,0.05128205128205128,0.46205357142857145
consumer_goods,logit,nmf200,0.4126984126984127,0.5424107142857143
consumer_goods,logit,ensemble,0.4126984126984127,0.5424107142857143
consumer_goods,logit,nmf50,0.3934426229508197,0.5357142857142857
consumer_goods,logit,unigrams,0.38709677419354843,0.5267857142857143
consumer_goods,logit,nmf100,0.38709677419354843,0.5267857142857143
banks,xgb,nmf200,0.10810810810810811,0.4719963866305329
banks,xgb,ensemble,0.08450704225352113,0.47086720867208676
banks,xgb,unigrams,0.08108108108108109,0.45867208672086723
banks,xgb,nmf50,0.08108108108108109,0.45867208672086723
banks,xgb,nmf100,0.0547945205479452,0.449412827461608
banks,svm,unigrams,0.40579710144927533,0.5316169828364951
banks,svm,nmf50,0.40579710144927533,0.5316169828364951
banks,svm,nmf200,0.3909774436090226,0.525293586269196
banks,svm,nmf100,0.3880597014925373,0.5212285456187895
banks,svm,ensemble,0.3880597014925373,0.5212285456187895
banks,rf,nmf100,0.14285714285714285,0.5015808491418248
banks,rf,unigrams,0.13157894736842105,0.4771906052393857
banks,rf,nmf200,0.12658227848101264,0.4649954832881662
banks,rf,nmf50,0.08823529411764706,0.4830623306233062
banks,rf,ensemble,0.05970149253731343,0.4738030713640469
banks,logit,ensemble,0.39344262295081966,0.5433604336043361
banks,logit,nmf200,0.38399999999999995,0.5311653116531165
banks,logit,nmf50,0.358974358974359,0.5237127371273712
banks,logit,nmf100,0.3269230769230769,0.5232610659439928
banks,logit,unigrams,0.2417582417582418,0.49616079494128273
