Data Set,Model,Features Method,F1-score,AUC ROC,max_depth,min_samples_leaf,min_samples_split,n_estimators
0,RandomForestClassifier,Unigrams,0.7513513513513513,0.6146053911749556,10.0,1,2,10
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,10.0,1,2,10
2,RandomForestClassifier,Unigrams,0.8523206751054851,0.4736567305866717,10.0,1,2,10
0,RandomForestClassifier,Unigrams,0.8601583113456465,0.7582269787672409,10.0,1,2,100
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,10.0,1,2,100
2,RandomForestClassifier,Unigrams,0.902834008097166,0.5303778241883426,10.0,1,2,100
0,RandomForestClassifier,Unigrams,0.8608923884514434,0.7561666571281407,10.0,1,2,1000
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,10.0,1,2,1000
2,RandomForestClassifier,Unigrams,0.9014084507042254,0.5108220998670969,10.0,1,2,1000
0,RandomForestClassifier,Unigrams,0.8616187989556136,0.7541063354890403,10.0,1,2,2000
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,10.0,1,2,2000
2,RandomForestClassifier,Unigrams,0.9036144578313253,0.5130055059806341,10.0,1,2,2000
0,RandomForestClassifier,Unigrams,0.8378378378378379,0.740056086533509,10.0,1,5,10
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,10.0,1,5,10
2,RandomForestClassifier,Unigrams,0.8938775510204081,0.5216441997341941,10.0,1,5,10
0,RandomForestClassifier,Unigrams,0.8556430446194225,0.748325988668231,10.0,1,5,100
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,10.0,1,5,100
2,RandomForestClassifier,Unigrams,0.9021956087824351,0.49344978165938863,10.0,1,5,100
0,RandomForestClassifier,Unigrams,0.856396866840731,0.7462656670291307,10.0,1,5,1000
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,10.0,1,5,1000
2,RandomForestClassifier,Unigrams,0.9079999999999999,0.5173723182077083,10.0,1,5,1000
